gene,F,p,eta2,levene_p,normal_all,kruskal_H,kruskal_p
NR3C1,18.720812274881016,1.5389504857927812e-06,0.47130990537975087,0.010861866575674124,True,,
NR3C2,58.51867537210079,7.190404353143452e-13,0.73591109381875,0.19619064245609713,False,28.12830917874396,7.798575287679748e-07
FKBP5,38.87435457560249,2.7832194220382756e-10,0.649265530311753,0.00019783584678922158,True,,
